A,B,C,D,E,F,G,H,I,J,K,L,M
-5.116671866,-0.168679221,2.293959168,12.97480931,5.300374864,4.115453421,10.05965447,3.955395968,10.28052523,13.19005593,8.76125457,4.833814578,0
-2.411114577,-0.168679221,3.35976324,16.17782208,5.300374864,4.115453421,10.05965447,3.971857989,10.28052523,13.19005593,8.214382844,4.833814578,0
0.294442711,-0.168679221,4.67988162,12.61636491,5.300374864,4.115453421,10.05965447,3.955395968,10.28052523,16.22604403,8.497500625,4.833814578,0
-11.68107016,-0.168679221,4.67988162,26.68390794,5.300374864,4.115453421,10.05965447,3.971857989,10.28052523,13.19005593,8.214382844,4.833814578,0
-11.94431331,-0.168679221,4.67988162,24.35976506,5.300374864,4.115453421,10.05965447,3.971857989,10.28052523,13.19005593,8.214382844,4.833814578,0
0.294442711,-0.168679221,4.67988162,12.61636491,5.300374864,4.115453421,10.05965447,3.955395968,10.28052523,13.19005593,9.016007352,4.833814578,0
0.294442711,-0.168679221,4.67988162,12.61636491,5.300374864,4.115453421,10.05965447,3.934656275,10.28052523,13.19005593,8.803306834,4.833814578,0
-10.87756905,-0.53470048,2.934780045,14.4385132,5.429986234,4.115453421,10.05965447,3.750718605,13.87541402,43.84714853,8.268552221,4.833814578,0
-12.26977625,-0.168679221,4.67988162,22.52426662,5.300374864,4.115453421,10.05965447,3.934656275,10.28052523,13.19005593,9.041782336,4.833814578,0
-9.065247719,-0.168679221,4.67988162,24.51641845,5.300374864,4.115453421,10.05965447,3.971857989,10.28052523,13.19005593,8.214382844,4.833814578,0
-3.282109481,-0.168679221,4.67988162,23.99675226,5.300374864,4.115453421,10.05965447,3.971857989,10.28052523,13.19005593,8.214382844,4.833814578,0
0.294442711,-0.168679221,4.67988162,12.61636491,5.300374864,4.115453421,10.05965447,3.920995388,10.28052523,13.19005593,8.966899996,4.833814578,0
-2.411114577,-0.168679221,4.67988162,23.76059198,5.300374864,4.115453421,10.05965447,3.971857989,10.28052523,13.19005593,8.214382844,4.833814578,0
-13.23334373,-0.168679221,4.67988162,23.42085072,5.300374864,4.115453421,10.05965447,3.971857989,10.28052523,13.19005593,8.214382844,4.833814578,0
0.294442711,-0.168679221,4.67988162,12.61636491,5.300374864,4.115453421,10.05965447,3.943715979,10.28052523,18.38011187,8.676332066,4.833814578,0
-3.282109481,-0.168679221,2.934780045,15.84862479,5.300374864,4.115453421,10.05965447,3.971857989,10.28052523,13.19005593,8.214382844,4.833814578,0
-7.822229155,-0.168679221,4.67988162,22.64759965,5.300374864,4.115453421,10.05965447,3.971857989,10.28052523,13.19005593,8.214382844,4.833814578,0
-2.411114577,-0.168679221,4.67988162,26.396394,5.300374864,4.115453421,10.05965447,3.971857989,10.28052523,13.19005593,8.214382844,4.833814578,0
-3.993764135,-0.168679221,4.67988162,25.71783779,5.300374864,4.115453421,10.05965447,3.971857989,10.28052523,13.19005593,8.214382844,4.833814578,0
-9.864620539,-0.168679221,4.67988162,22.3069298,5.300374864,4.115453421,10.05965447,3.971857989,10.28052523,13.19005593,8.214382844,4.833814578,0
-3.282109481,-0.168679221,4.67988162,26.04580395,5.300374864,4.115453421,10.05965447,3.971857989,10.28052523,13.19005593,8.214382844,4.833814578,0
-3.282109481,-0.168679221,4.67988162,22.41556683,5.300374864,4.115453421,10.05965447,3.971857989,10.28052523,13.19005593,8.214382844,4.833814578,0
0.294442711,-0.26735024,4.67988162,12.61636491,5.469549212,4.115453421,10.05965447,3.906514264,11.02958446,25.24099262,8.334861368,4.833814578,0
-3.993764135,-0.168679221,4.67988162,21.53894333,5.300374864,4.115453421,10.05965447,3.971857989,10.28052523,13.19005593,8.214382844,4.833814578,0
-4.595459571,-0.168679221,4.67988162,22.30923377,5.300374864,4.115453421,10.05965447,3.971857989,10.28052523,13.19005593,8.214382844,4.833814578,0
0.294442711,-0.168679221,4.67988162,12.61636491,5.300374864,4.115453421,10.05965447,3.955395968,10.28052523,13.19005593,8.771850425,4.833814578,0
